Year,Survey,LocationDesc,DataSource,Topic,Question,StratificationCategory,Stratification,DataValueUnit,DataValue,LowCI,HighCI,Footnote1,Footnote2,Footnote3,Footnote4,TopicID,QuestionID,Median,Minimum,Maximum
2021,National,United States,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,15.9,15.0,16.8,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,,,
2021,National,United States,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,20.5,19.3,21.7,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,,,
2021,National,United States,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,11.2,10.3,12.2,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,,,
2021,State,Alabama,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,13.8,9.4,19.8,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Alabama,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,18.9,10.9,30.6,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,Alabama,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,8.2,4.9,13.5,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,Alaska,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,,,,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",—The number of respondents within the subgroup did not meet the minimum reporting threshold or data were not available.,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Alaska,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,,,,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",—The number of respondents within the subgroup did not meet the minimum reporting threshold or data were not available.,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,Alaska,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,,,,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",—The number of respondents within the subgroup did not meet the minimum reporting threshold or data were not available.,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,Arizona,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,19.9,16.9,23.3,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Arizona,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,26.3,22.4,30.5,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,Arizona,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,13.5,10.5,17.3,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,Arkansas,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,18.4,15.3,21.9,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Arkansas,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,25.8,21.3,30.8,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,Arkansas,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,10.1,7.6,13.4,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,Colorado,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,16.7,14.3,19.5,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Colorado,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,22.6,19.2,26.5,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,Colorado,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,11.0,8.1,14.8,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,Delaware,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,9.7,8.0,11.7,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Delaware,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,12.6,10.0,15.9,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,Delaware,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,6.4,5.1,8.0,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,Florida,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,12.9,11.5,14.4,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Florida,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,16.8,14.4,19.4,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,Florida,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,8.9,7.4,10.6,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,California,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,,,,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",—The number of respondents within the subgroup did not meet the minimum reporting threshold or data were not available.,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
